iter	RMSE
178	4.563241315
179	4.54212272
180	4.516584802
181	4.495424428
182	4.471481989
183	4.446681436
184	4.431272288
185	4.405193596
186	4.37828864
187	4.363980552
188	4.346069811
189	4.317226886
190	4.300020647
191	4.281559588
192	4.259118533
193	4.232124979
194	4.208057874
195	4.191540378
196	4.166157137
197	4.145492896
198	4.117478387
199	4.097805719
200	4.086471799
201	4.070745884
202	4.047416215
203	4.033907608
204	4.008948212
205	3.994114737
206	3.973625961
207	3.948857094
208	3.929068966
209	3.913420746
210	3.890898915
211	3.868394984
212	3.85215211
213	3.83177207
214	3.815282229
215	3.796858723
216	3.778939926
217	3.762947655
218	3.745099621
219	3.727030517
220	3.714285087
221	3.699385882
222	3.680019259
223	3.666540221
224	3.653985229
225	3.640453725
226	3.629012111
227	3.614033525
228	3.59994762
229	3.583839011
230	3.564624068
231	3.551442372
232	3.540388667
233	3.520104029
234	3.505322415
235	3.492854589
236	3.478177876
237	3.461360685
238	3.449298328
239	3.436761024
240	3.417888357
241	3.408768641
242	3.390529402
243	3.376354124
244	3.364096213
245	3.350109142
246	3.332881316
247	3.320022949
248	3.306889998
249	3.292261598
250	3.273818497
251	3.26171407
252	3.245407517
253	3.230478267
254	3.220231386
255	3.211566372
256	3.193425164
257	3.184506681
258	3.169939739
259	3.160463759
260	3.148795828
261	3.132252244
262	3.121884999
263	3.107758693
264	3.096625465
265	3.08120223
266	3.067593918
267	3.055326069
268	3.047180178
269	3.033294783
270	3.025694079
271	3.01542223
272	3.006764973
273	2.994116709
274	2.983270721
275	2.965800877
276	2.950897145
277	2.942463552
278	2.930488459
279	2.915905258
280	2.898848856
281	2.889895329
282	2.879542457
283	2.875565062
284	2.868312984
285	2.856656359
286	2.848425899
287	2.842573606
288	2.831062191
289	2.818515893
290	2.810773494
291	2.801533197
292	2.788825134
293	2.777117805
294	2.765079403
295	2.754487933
296	2.739708741
297	2.731859903
298	2.720476129
299	2.707810634
300	2.697885083
301	2.691522233
302	2.680821452
303	2.666044115
304	2.658400763
305	2.654909063
306	2.647177465
307	2.638926198
308	2.636667955
309	2.630759556
310	2.619656776
311	2.609730715
312	2.600934857
313	2.594511516
314	2.586953497
315	2.577698153
316	2.567868954
317	2.560189154
318	2.547603954
319	2.53912229
320	2.529490743
321	2.519695262
322	2.515155834
323	2.506977035
324	2.497227835
325	2.485660584
326	2.472834512
327	2.466045333
328	2.459147663
329	2.445089525
330	2.434068342
331	2.425539903
332	2.416450392
333	2.406373252
334	2.399549691
335	2.38832213
336	2.380157438
337	2.367345662
338	2.360908063
339	2.352093166
340	2.345013323
341	2.337170908
342	2.330710426
343	2.321887825
344	2.312497145
345	2.303403497
346	2.29294425
347	2.283791778
348	2.27450806
349	2.268265533
350	2.25818868
351	2.253917739
352	2.245683868
353	2.23828985
354	2.229257861
355	2.222674513
356	2.213883319
357	2.204294355
358	2.194732143
359	2.18804987
360	2.181412319
361	2.173111827
362	2.162780119
363	2.154974747
364	2.14771494
365	2.140686142
366	2.131179274
367	2.126130509
368	2.116135486
369	2.111087707
370	2.100785501
371	2.092373375
372	2.086034997
373	2.078903833
374	2.072230161
375	2.065382237
376	2.058631539
377	2.051768365
378	2.047294976
379	2.037144192
380	2.030376246
381	2.026290191
382	2.023337819
383	2.014191626
384	2.006743791
385	1.999149062
386	1.990763812
387	1.983608135
388	1.973204219
389	1.965835157
390	1.963013659
391	1.960315023
392	1.953088572
393	1.944772491
394	1.94277984
395	1.935186829
396	1.927828249
397	1.925165438
398	1.921334091
399	1.918338385
400	1.91204005
401	1.905039025
402	1.898321327
403	1.891271055
404	1.890750966
405	1.884525908
406	1.87878617
407	1.871091654
408	1.86552484
409	1.862332105
410	1.856395222
411	1.853490662
412	1.846371217
413	1.841882457
414	1.834726267
415	1.827903249
416	1.82202519
417	1.815736719
418	1.811706707
419	1.806917242
420	1.800440745
421	1.791740257
422	1.787646498
423	1.780178507
424	1.776093376
425	1.769459224
426	1.764262451
427	1.761697454
428	1.757651491
429	1.751540272
430	1.749949788
431	1.744212422
432	1.73936954
433	1.737641067
434	1.731380232
435	1.725668857
436	1.722010156
437	1.714559378
438	1.709244814
439	1.70586563
440	1.700495727
441	1.695958615
442	1.693249927
443	1.690297054
444	1.685943301
445	1.679691369
446	1.674723695
447	1.671813886
448	1.666080104
449	1.663405144
450	1.660575686
451	1.656652619
452	1.653583672
453	1.645490172
454	1.639850082
455	1.634088287
456	1.632429147
457	1.627796085
458	1.627493109
459	1.621449544
460	1.615626831
461	1.613198086
462	1.608462763
463	1.601033884
464	1.595418655
465	1.591094216
466	1.588782247
467	1.585230644
468	1.580931538
469	1.57803637
470	1.574968084
471	1.568892477
472	1.564462338
473	1.560748402
474	1.555239123
475	1.549720061
476	1.5449136
477	1.540087845
478	1.537868068
479	1.535698131
480	1.531200969
481	1.525417929
482	1.521854121
483	1.519055926
484	1.51629275
485	1.513990229
486	1.510825716
487	1.508178315
488	1.504336504
489	1.498753713
490	1.493200759
491	1.485328932
492	1.48255338
493	1.479675954
494	1.473151045
495	1.470519398
496	1.46765784
497	1.465052049
498	1.461655622
499	1.459692993
500	1.454808663
501	1.447464246
502	1.443330928
503	1.438230329
504	1.434723658
505	1.431931553
506	1.426974955
507	1.421514005
508	1.415852131
509	1.413160769
510	1.410041805
511	1.406525391
512	1.403247298
513	1.399843247
514	1.394961423
515	1.392043221
516	1.387641114
517	1.385448386
518	1.38124399
519	1.377160356
520	1.374813099
521	1.370418515
522	1.364130864
523	1.360115287
524	1.354921438
525	1.353016199
526	1.348105329
527	1.344832957
528	1.342330234
529	1.338991694
530	1.336621057
531	1.333138437
532	1.329891366
533	1.327326823
534	1.324440496
535	1.320364797
536	1.318967485
537	1.314497572
538	1.309749936
539	1.306013998
540	1.30303897
541	1.300607155
542	1.29654175
543	1.293678148
544	1.291492093
545	1.290470318
546	1.287676498
547	1.287316986
548	1.283867242
549	1.282294214
550	1.279703118
551	1.276985789
552	1.274615067
553	1.270875748
554	1.266944822
555	1.265397224
556	1.261616668
557	1.258979501
558	1.257840078
559	1.256376787
560	1.253298812
561	1.24962855
562	1.246091258
563	1.24248471
564	1.239241848
565	1.236177645
566	1.233221551
567	1.231202504
568	1.2286188
569	1.227040676
570	1.225042721
571	1.221168242
572	1.218347252
573	1.214755251
574	1.213407508
575	1.211068139
576	1.206189739
577	1.204776492
578	1.20136688
579	1.19733704
580	1.196560458
581	1.194702884
582	1.192084991
583	1.188257127
584	1.186493947
585	1.183281179
586	1.179345619
587	1.176434624
588	1.174936616
589	1.172902273
590	1.170493839
591	1.16968533
592	1.16683883
593	1.162174316
594	1.161040383
595	1.157236337
596	1.15204899
597	1.149522077
598	1.146799798
599	1.142210701
600	1.141190634
601	1.138441119
602	1.135632133
603	1.133354071
604	1.131957305
605	1.131297917
606	1.125120929
607	1.120309308
608	1.116889613
609	1.113688966
610	1.11103798
611	1.106270596
612	1.103028924
613	1.101634326
614	1.099428791
615	1.096661988
616	1.092389221
617	1.089299982
618	1.088336763
619	1.084369601
620	1.0818894
621	1.07834793
622	1.073907453
623	1.069707238
624	1.066132566
625	1.063718373
626	1.061897584
627	1.059037971
628	1.056508024
629	1.054486814
630	1.053502647
631	1.052091258
632	1.050085073
633	1.048801348
634	1.048596891
635	1.045345225
636	1.042954161
637	1.041099648
638	1.039742148
639	1.037929767
640	1.034613594
641	1.033879913
642	1.030287197
643	1.028574792
644	1.026750396
645	1.023885778
646	1.021108773
647	1.017744768
648	1.014510311
649	1.011856371
650	1.010557624
651	1.008348034
652	1.005785036
653	1.003373854
654	1.001198894
655	0.9997106574
656	0.9952535011
657	0.9934890787
658	0.9915478237
659	0.9879826086
660	0.9836475748
661	0.9794547877
662	0.9768061454
663	0.9746498892
664	0.9721522848
665	0.9698882778
666	0.9675671664
667	0.9622423467
668	0.9612778013
669	0.9595840132
670	0.9558490221
671	0.9534822726
672	0.9491004799
673	0.946841055
674	0.9451234145
675	0.9426416968
676	0.9394836193
677	0.9376160441
678	0.9347134999
679	0.9314755672
680	0.9295579879
681	0.924381832
682	0.9203008953
683	0.9191491469
684	0.9164951947
685	0.9152132566
686	0.9133781974
687	0.9101163406
688	0.9081976142
689	0.9057787178
690	0.9047861616
691	0.9035987175
692	0.9023470306
693	0.8988654419
694	0.8963541908
695	0.8934389526
696	0.8922626661
697	0.891226823
698	0.887369701
699	0.8856708798
700	0.8845643302
701	0.8826885201
702	0.8818887248
703	0.8801248562
704	0.8762558416
705	0.8744563466
706	0.8709000049
707	0.8671977045
708	0.864818282
709	0.8624540135
710	0.8591824756
711	0.8560946924
712	0.8545881788
713	0.8525690189
714	0.8499638549
715	0.8476451843
716	0.8465243343
717	0.8460786181
718	0.8438941164
719	0.8421577815
720	0.8389753606
721	0.8353588728
722	0.8333518117
723	0.8319500235
724	0.8295156018
725	0.8263886989
726	0.8234361299
727	0.8209149412
728	0.8199729813
729	0.8178123613
730	0.8146502154
731	0.8128322096
732	0.8110070647
733	0.8093518711
734	0.8058474773
735	0.8042165197
736	0.8022426128
737	0.7991620947
738	0.7960947787
739	0.7947309609
740	0.793182387
741	0.7917667261
742	0.7916518053
743	0.7900544304
744	0.7899445549
745	0.7893299839
746	0.7880581365
747	0.7853306192
748	0.784225533
749	0.7822657345
750	0.7808194973
751	0.778666026
752	0.7750555504
753	0.7741874853
754	0.771665719
755	0.7690460813
756	0.7682887618
757	0.7658794626
758	0.7649736551
759	0.7636365559
760	0.7617697367
761	0.7604670894
762	0.758864412
763	0.7567229795
764	0.7556704247
765	0.7541904618
766	0.7514118788
767	0.7495266155
768	0.7464306493
769	0.7455164105
770	0.7438896388
771	0.7427415769
772	0.7402427103
773	0.738706614
774	0.7385871584
775	0.7361627637
776	0.7337746345
777	0.7323485173
778	0.7299822905
779	0.7298913747
780	0.7286478376
781	0.7285349996
782	0.7273448291
783	0.7254771135
784	0.7238713885
785	0.7222868612
786	0.7201246984
787	0.7175164432
788	0.716272116
789	0.7147901387
790	0.7128258915
791	0.7109132372
792	0.7097015196
793	0.7087439984
794	0.7070989117
795	0.7055333101
796	0.7040856276
797	0.703224963
798	0.702341456
799	0.7004941523
800	0.6981055397
801	0.6969608515
802	0.6942749592
803	0.6935847931
804	0.6928398195
805	0.6908554424
806	0.6893002027
807	0.6881932405
808	0.6866046785
809	0.6851016957
810	0.6843061727
811	0.681651474
812	0.6804226683
813	0.6798695811
814	0.6777213856
815	0.6757339104
816	0.6750333627
817	0.6748195556
818	0.6744182359
819	0.6722282671
820	0.6716944887
821	0.6700823471
822	0.6687124546
823	0.6670145146
824	0.664626018
825	0.6626454888
826	0.6607006408
827	0.659376626
828	0.6585614547
829	0.6579490442
830	0.6568053852
831	0.6546601152
832	0.6537164237
833	0.6516728197
834	0.6494324247
835	0.6470743854
836	0.6455923781
837	0.6446841525
838	0.6429198949
839	0.6419453538
840	0.6409244032
841	0.6400212659
842	0.6387597173
843	0.638175354
844	0.6374720448
845	0.6361980337
846	0.6349079714
847	0.6338468215
848	0.6332057911
849	0.6313716638
850	0.6302054548
851	0.6288052297
852	0.6267773305
853	0.624282405
854	0.6230830979
855	0.6222007303
856	0.6213807063
857	0.6191858688
858	0.6182152187
859	0.617367782
860	0.6161650922
861	0.6151132274
862	0.6149514821
863	0.6129469927
864	0.6110838643
865	0.6090065873
866	0.6070831647
867	0.6058848076
868	0.6036924745
869	0.6025885865
870	0.5995507827
871	0.597421421
872	0.5962122302
873	0.5952687832
874	0.5941891101
875	0.5922812085
876	0.5912241557
877	0.5890551387
878	0.5886476721
879	0.5884593709
880	0.5880213735
881	0.5869999772
882	0.5862548616
883	0.5847278545
884	0.5834120981
885	0.581714167
886	0.5806480409
887	0.5790576612
888	0.5774320767
889	0.5769677729
890	0.5756818264
891	0.5742549612
892	0.5725048362
893	0.5714795547
894	0.57063565
895	0.5697056949
896	0.5676318628
897	0.5662112201
898	0.5655304682
899	0.5646657763
900	0.5623002222
901	0.5615437618
902	0.5603303772
903	0.5595713275
904	0.5586948113
905	0.5568760109
906	0.5564205159
907	0.5558299456
908	0.5554432212
909	0.5540476427
910	0.5521543607
911	0.5507045292
912	0.5498976455
913	0.5489488537
914	0.548279678
915	0.5467510111
916	0.5463094258
917	0.5452029486
918	0.543578355
919	0.5426418659
920	0.5422515576
921	0.541094672
922	0.540151009
923	0.5383517475
924	0.5374486257
925	0.5357660676
926	0.534956448
927	0.5333061685
928	0.5324733348
929	0.5303934031
930	0.5283375633
931	0.5271125409
932	0.5259277955
933	0.5252948771
934	0.5234837258
935	0.5219631324
936	0.5213279421
937	0.5205457269
938	0.5189652081
939	0.517448265
940	0.5158801833
941	0.5142528118
942	0.5123287634
943	0.5103743303
944	0.509447491
945	0.5081631417
946	0.5075127961
947	0.505361867
948	0.5039124124
949	0.5027282048
950	0.5012054622
951	0.5001415774
952	0.4991374066
953	0.4966102191
954	0.4949921248
955	0.4936618943
956	0.4927160702
957	0.491793357
958	0.491181761
959	0.4900158842
960	0.4882520937
961	0.4879618469
962	0.4866020462
963	0.4852416181
964	0.4838919558
965	0.483018203
966	0.4822205152
967	0.4806504894
968	0.4795297149
969	0.4791531965
970	0.4780889788
971	0.4771847953
972	0.476234979
973	0.474778125
974	0.473410728
975	0.4717092787
976	0.4706488931
977	0.4692557084
978	0.4678762396
979	0.4666249677
980	0.4648076654
981	0.464388961
982	0.4639252507
983	0.4631406009
984	0.4622859534
985	0.4616914487
986	0.4612817833
987	0.4607934132
988	0.4601697312
989	0.4594735452
990	0.4589454759
991	0.457769176
992	0.4556456848
993	0.4552962224
994	0.4536691462
995	0.4533007586
996	0.4527210154
997	0.4521259983
998	0.4515765064
999	0.4509997239
